stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778504676.968724728,702.617308855,-0.004976574,0.009198657,0.000880099,0.013594223,-0.013298939,-0.000093908,0.999819147,0.027194001,-0.026598757,0.000173857,-0.023427045,0.008114582,-0.004051044
1778504677.070596933,702.719181061,-0.007364226,0.010470566,0.001376037,0.011839570,-0.013853982,0.000133866,0.999833923,0.023690222,-0.027703736,0.000595967,-0.029644994,0.016645296,-0.001753525
1778504677.163228273,702.811812401,-0.008730146,0.011031633,0.002537829,0.012728789,-0.013056489,-0.000288838,0.999833697,0.025457234,-0.026118958,-0.000245278,-0.028393807,0.015707151,0.001869825
1778504677.267424345,702.916008472,-0.011394704,0.011628498,0.003498485,0.013487436,-0.012693415,-0.003209588,0.999823317,0.026900594,-0.025471677,-0.006077648,-0.031084936,0.014160761,0.003598236
1778504677.368586063,703.017170191,-0.012394394,0.011779723,0.005091601,0.014362479,-0.012354023,-0.003997811,0.999812540,0.028633526,-0.024820800,-0.007641683,-0.026444751,0.010292373,0.006593772
1778504677.466809273,703.115393400,-0.012763925,0.011492764,0.005376825,0.014980430,-0.013007089,-0.004817260,0.999791576,0.029843935,-0.026156067,-0.009246102,-0.023173608,0.005512864,0.005612421
1778504677.571034670,703.219618797,-0.012894838,0.009238241,0.003669721,0.015764904,-0.012832068,-0.003569349,0.999787010,0.031447114,-0.025774065,-0.006734874,-0.018744780,-0.006337385,-0.000112118
1778504677.672723532,703.321307659,-0.012439568,0.007115859,0.002820971,0.016543706,-0.011116292,-0.002708147,0.999797679,0.033034744,-0.022319544,-0.005048668,-0.009903840,-0.014765831,-0.001735109
1778504677.770770550,703.419354677,-0.011745384,0.007165626,0.002569065,0.015258778,-0.009738599,-0.004412219,0.999826416,0.030436871,-0.019609724,-0.008527451,-0.001393731,-0.007767659,-0.001814747
1778504677.870977640,703.519561768,-0.010341118,0.007120026,0.001656690,0.015041303,-0.009136811,-0.004850917,0.999833359,0.029998535,-0.018417547,-0.009427097,0.007102047,-0.004585973,-0.003534011
1778504677.970667124,703.619251251,-0.009308480,0.006263044,0.001656686,0.015604671,-0.009352278,-0.004590567,0.999823962,0.031128536,-0.018845647,-0.008889335,0.009870363,-0.007316732,-0.002532452
